Feature,Importance
original_shape_Elongation,0.034564186940914884
original_shape_Flatness,-0.2558118446247677
original_shape_LeastAxisLength,-0.17485904681347672
original_shape_MajorAxisLength,-0.3376993107857326
original_shape_MinorAxisLength,0.18934161903050123
original_shape_Sphericity,-0.18585025650918968
original_firstorder_Energy,0.007802247278101024
original_firstorder_Kurtosis,-0.13099553313386117
original_firstorder_Minimum,-0.4557030428573685
original_glcm_ClusterShade,-0.11271748661559156
original_glcm_Correlation,0.0021972833942947665
original_glcm_Idmn,0.36898815852689953
original_glcm_Imc1,0.8822068802558323
original_glcm_Imc2,-0.07483133602623529
original_glcm_MCC,-0.004466508165571555
original_gldm_DependenceEntropy,0.10566312970381704
original_gldm_DependenceVariance,0.029638234794552198
original_gldm_LargeDependenceLowGrayLevelEmphasis,-0.01822211057683339
original_glrlm_GrayLevelNonUniformity,0.12111986272454135
original_glrlm_LongRunLowGrayLevelEmphasis,-0.04249935026830476
original_glrlm_RunVariance,0.04497364372955121
original_glszm_LargeAreaEmphasis,-0.042652139172830665
original_glszm_LargeAreaLowGrayLevelEmphasis,-0.02361707658123039
original_glszm_SmallAreaEmphasis,0.1856514071414773
original_glszm_SmallAreaLowGrayLevelEmphasis,0.1267444996428362
original_glszm_ZoneVariance,-0.03398046372193446
original_ngtdm_Coarseness,-0.29432970781572615
original_ngtdm_Strength,0.21123454391461224
subtlety,1.2267633099417474
sphericity,0.021366489909795703
margin,-0.22427604569603904
lobulation,0.26233952807515315
spiculation,0.42451876227215735
texture,-0.23828486353236694
fourier_hist_bin_0,0.030878899286467705
fourier_hist_bin_2,-0.001704890561019985
fourier_hist_bin_5,-0.0531330048812519
fourier_hist_bin_6,-0.06107349871451661
calcification_3,-1.460531604163526
calcification_6,2.7140213099453225
